State,2009 Food Insecurity Rate,2010 Food Insecurity Rate,2011 Food Insecurity Rate,2012 Food Insecurity Rate,2013 Food Insecurity Rate,2014 Food Insecurity Rate,2015 Food Insecurity Rate,2016 Food Insecurity Rate,2017 Food Insecurity Rate,2018 Food Insecurity Rate,2019 Food Insecurity Rate
MN,0.112,0.11463334352681362,0.11373915991454221,0.1074651538099313,0.10566786830443622,0.104,0.099,0.092,0.091,0.082,0.077
MO,0.168,0.17113750287472246,0.17120003566979355,0.17121090244616893,0.17041708449347312,0.168,0.156,0.147,0.142,0.133,0.132
MS,0.199,0.2178593121430178,0.21435535596297747,0.22305075569712615,0.22724940132862753,0.223,0.215,0.201,0.192,0.187,0.185
MT,0.138,0.14546401345042578,0.1492888692535256,0.14583028649711832,0.14228228908601065,0.136,0.13,0.123,0.111,0.103,0.104
NC,0.182,0.19560515137804949,0.1929631961224477,0.18599840259604292,0.18297410860616203,0.177,0.165,0.154,0.146,0.14,0.135
ND,0.078,0.07687187082560537,0.0736915365855085,0.07738398120143848,0.07800739017380594,0.08,0.077,0.074,0.073,0.068,0.067
NE,0.118,0.1331873566251409,0.13679278817740406,0.13370878861777663,0.1321690582258862,0.13,0.123,0.119,0.116,0.123,0.117
NH,0.1,0.10871389525342147,0.10613763983146639,0.10925118003994796,0.10820131186534679,0.105,0.097,0.09,0.091,0.093,0.088
NJ,0.127,0.13521709175488522,0.13951574368662606,0.12994283999598402,0.12380132951447292,0.118,0.108,0.103,0.096,0.087,0.086
NM,0.171,0.18475438688204646,0.2006412374461153,0.18561157840327053,0.17307929316204437,0.172,0.16,0.158,0.155,0.151,0.142
NV,0.161,0.1747772903031159,0.17356008580696664,0.1682137030610769,0.15812490860660555,0.149,0.137,0.127,0.122,0.128,0.121
NY,0.135,0.14218387798899182,0.1465790456680197,0.140965927843272,0.1394281355975156,0.135,0.126,0.119,0.114,0.111,0.107
OH,0.171,0.18058314267233302,0.17793839055704957,0.1717023013671338,0.16869003443839012,0.168,0.16,0.151,0.145,0.139,0.132
OK,0.171,0.17675243812508273,0.17244326004323346,0.1720395719850478,0.1700112814525026,0.168,0.162,0.162,0.158,0.151,0.147
OR,0.168,0.1749016725115702,0.1792549780350989,0.16746367923088779,0.15751393424790683,0.152,0.142,0.129,0.123,0.119,0.115
PA,0.135,0.1455699339791953,0.1486751117447021,0.14327769357958484,0.1415913712762552,0.138,0.131,0.125,0.12,0.109,0.106
RI,0.156,0.15325495827658456,0.15319099554647475,0.1465687637342758,0.1444017228540643,0.14,0.125,0.121,0.114,0.114,0.095
SC,0.183,0.18773973796414045,0.18597290579860362,0.17964431868676464,0.17059423364850626,0.164,0.153,0.139,0.135,0.118,0.108
SD,0.116,0.12550476874028585,0.1252059867828687,0.12342893896231373,0.12442047777368777,0.124,0.121,0.117,0.114,0.108,0.103
TN,0.173,0.17564387153040234,0.17603121364697527,0.17065652578442292,0.17053937066905092,0.169,0.154,0.145,0.139,0.14,0.133
TX,0.178,0.1850084692970068,0.18745159871703956,0.18319247906392225,0.17593980806174547,0.17,0.157,0.154,0.149,0.15,0.141
UT,0.151,0.17000009724581833,0.16748768822620297,0.15544146700489303,0.14596300698548575,0.142,0.131,0.125,0.121,0.11,0.111
VA,0.118,0.12368066912103094,0.12680995637183196,0.12137138314121156,0.1189590583028314,0.118,0.112,0.106,0.102,0.099,0.094
VT,0.133,0.14099942488337913,0.1305012044423089,0.13359190173974578,0.1356621930006543,0.135,0.119,0.121,0.119,0.113,0.11
WA,0.148,0.15855298898538897,0.1612714307006784,0.1495517189182794,0.14601071864126117,0.137,0.128,0.12,0.115,0.107,0.104
WI,0.131,0.13286131708277932,0.13032919585130134,0.1264966214363724,0.12433147886721833,0.119,0.11,0.105,0.1,0.089,0.091
WV,0.14,0.14657710764935628,0.15269240968349068,0.1499827801141848,0.15774112551124303,0.153,0.149,0.146,0.148,0.139,0.135
WY,0.121,0.12181554051659993,0.11989622604979601,0.130045869968009,0.1278108255614786,0.126,0.123,0.126,0.123,0.122,0.117
